latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
21.746,-79.347,306.8,1.2,1.1,2017-06-01,0320,T,69,6.0NRT,292.6,8.6,N
21.759,-79.641,306.6,1.3,1.1,2017-06-01,0320,T,67,6.0NRT,293.4,8,N
36.357,-76.809,304,1.2,1.1,2017-06-01,0325,T,58,6.0NRT,291.5,7.1,N
41.634,-87.14,312.1,1.5,1.2,2017-06-01,0325,T,84,6.0NRT,288.7,23.5,N
19.163,-104.13,303.2,1.4,1.2,2017-06-01,0500,T,54,6.0NRT,291.3,7.3,N
19.961,-104.88,313.5,1.5,1.2,2017-06-01,0500,T,87,6.0NRT,293.3,19.9,N
20.007,-104.802,306.7,1.5,1.2,2017-06-01,0500,T,69,6.0NRT,293.7,10,N
20.269,-104.89,309,1.5,1.2,2017-06-01,0500,T,76,6.0NRT,288.9,17.2,N
20.513,-103.466,312.9,1.2,1.1,2017-06-01,0500,T,86,6.0NRT,291.6,15.6,N
20.511,-103.477,303.8,1.2,1.1,2017-06-01,0500,T,57,6.0NRT,291.2,7.6,N
20.875,-103.385,307.5,1.2,1.1,2017-06-01,0500,T,72,6.0NRT,293.6,9.2,N
20.775,-104.007,305.9,1.3,1.1,2017-06-01,0500,T,66,6.0NRT,291.4,10.4,N
21.008,-103.438,305.6,1.2,1.1,2017-06-01,0500,T,63,6.0NRT,294.2,6.8,N
21.013,-103.434,314.4,1.2,1.1,2017-06-01,0500,T,89,6.0NRT,295.3,14.4,N
20.976,-103.971,301.8,1.3,1.1,2017-06-01,0500,T,41,6.0NRT,291.5,6,N
21.19,-103.911,309.1,1.2,1.1,2017-06-01,0500,T,61,6.0NRT,288.7,12.3,N
21.187,-103.935,307.5,1.2,1.1,2017-06-01,0500,T,42,6.0NRT,289.4,10.7,N
21.27,-103.538,305.8,1.2,1.1,2017-06-01,0500,T,66,6.0NRT,289.5,9.4,N
21.272,-103.544,300.4,1.2,1.1,2017-06-01,0500,T,23,6.0NRT,289.2,5.6,N
21.263,-103.907,334.6,1.2,1.1,2017-06-01,0500,T,100,6.0NRT,291.1,49,N
21.261,-103.921,302.9,1.2,1.1,2017-06-01,0500,T,38,6.0NRT,291.5,7,N
21.287,-104.2,313.7,1.3,1.1,2017-06-01,0500,T,88,6.0NRT,290.5,18.1,N
21.286,-104.211,310.3,1.3,1.1,2017-06-01,0500,T,80,6.0NRT,288,14.8,N
